threshold,accuracy,precision,recall,specificity,f1,fpr,fnr,tp,fp,tn,fn
0.4800000000000001,0.956821722679724,0.9101168883514712,0.8628200229270157,0.9794697109187995,0.8858375833660258,0.020530289081200515,0.13717997707298432,2258,223,10639,359
0.5000000000000001,0.9591957860375399,0.9326077856843867,0.8513565150936186,0.9851776836678328,0.8901318417898523,0.014822316332167188,0.14864348490638135,2228,161,10701,389
0.5200000000000001,0.9561540173603383,0.9423580786026201,0.8246083301490256,0.9878475418891548,0.879559812512737,0.012152458110845149,0.1753916698509744,2158,132,10730,459
0.54,0.9523703538838193,0.9486597001363016,0.7978601452044326,0.9895967593445038,0.8667496886674969,0.010403240655496226,0.20213985479556745,2088,113,10749,529
0.56,0.9494027746865494,0.9591836734693877,0.7722583110431792,0.9920824894126312,0.8556308213378493,0.007917510587368809,0.2277416889568208,2021,86,10776,596
0.5800000000000001,0.9457674901698939,0.9668316831683168,0.7462743599541459,0.9938317068679802,0.8423549708863489,0.0061682931320198855,0.253725640045854,1953,67,10795,664
0.6000000000000001,0.9430966688923511,0.9743589743589743,0.7260221627818112,0.9953967961701344,0.8320560543026055,0.004603203829865586,0.27397783721818875,1900,50,10812,717
0.6200000000000001,0.9379034052971289,0.9774678111587983,0.696217042414979,0.996133308782913,0.8132113367551886,0.0038666912170870925,0.303782957585021,1822,42,10820,795
0.6400000000000001,0.9336004154610876,0.9826233183856502,0.6698509743981659,0.9971460136254834,0.7966371279254716,0.0028539863745166635,0.3301490256018342,1753,31,10831,864
0.66,0.9283329623859337,0.9858740435550324,0.6400458540313336,0.9977904621616646,0.7761816496756256,0.0022095378383354815,0.35995414596866643,1675,24,10838,942
0.68,0.9229171303509163,0.9876390605686032,0.6106228505922813,0.9981587184680538,0.754663518299882,0.0018412815319462346,0.3893771494077188,1598,20,10842,1019
0.7000000000000001,0.917427108835967,0.9895833333333334,0.580817730225449,0.998526974774443,0.7320009631591621,0.0014730252255569876,0.41918226977455103,1520,16,10846,1097
0.7200000000000001,0.9119370873210179,0.9924242424242424,0.5506304929308369,0.9989872951574296,0.7082821332022611,0.001012704842570429,0.4493695070691632,1441,11,10851,1176
0.7400000000000001,0.9069663921655909,0.9934829833454019,0.5242644249140237,0.9991714233106241,0.6863431715857929,0.0008285766893758056,0.4757355750859763,1372,9,10853,1245
0.7600000000000001,0.9014763706506418,0.9938697318007663,0.49560565533053114,0.9992634873872215,0.6613972463029067,0.0007365126127784938,0.5043943446694689,1297,8,10854,1320
0.7800000000000001,0.8965056754952148,0.9943365695792881,0.4696217042414979,0.9993555514638188,0.6379444588632235,0.0006444485361811821,0.5303782957585021,1229,7,10855,1388
0.8000000000000002,0.889754432821426,0.9956178790534619,0.43408482995796716,0.9995396796170134,0.6045769026077702,0.00046032038298655866,0.5659151700420328,1136,5,10857,1481
0.8200000000000002,0.8841160323466133,0.9990539262062441,0.4035154757355751,0.9999079359234027,0.5748502994011977,9.206407659731172e-05,0.5964845242644249,1056,1,10861,1561
0.8400000000000001,0.8781066844721418,1.0,0.3721818876576232,1.0,0.5424672793093845,0.0,0.6278181123423767,974,0,10862,1643
0.8600000000000001,0.8729134208769197,1.0,0.3454337027130302,1.0,0.5134904856574837,0.0,0.6545662972869698,904,0,10862,1713
0.8800000000000001,0.8668298835225166,1.0,0.3141001146350783,1.0,0.47804594358825236,0.0,0.6858998853649216,822,0,10862,1795
